Anunciante,Bloco de anúncios,Data,Tamanho do criativo,Total de impressões,Total de cliques,Receita Bruta (R$),Receita Líquida,eCPM
AGCLUB7 INTERACTIVE B.V/0000-00,JC Online,01/02/2024,300 x 250v,21,0,"R$0,53 ","0,318","25,2381"
AGCLUB7 INTERACTIVE B.V/0000-00,JC HTML,01/02/2024,300 x 250v,2,0,"R$0,05 ","0,03","25,0"
AGCLUB7 INTERACTIVE B.V/0000-00,Portal NE10,01/02/2024,300 x 250v,14,0,"R$0,35 ","0,21","25,0"
AGCLUB7 INTERACTIVE B.V/0000-00,Rádio Jornal,01/02/2024,300 x 250v,19,0,"R$0,48 ","0,288","25,2632"
AGCLUB7 INTERACTIVE B.V/0000-00,TV Jornal,01/02/2024,300 x 250v,18,0,"R$0,45 ","0,27","25,0"
AGCLUB7 INTERACTIVE B.V/0000-00,TV Jornal,01/02/2024,300 x 250v,4,0,"R$0,10 ","0,06","25,0"
Amazon,JC Online,01/02/2024,1 x 1,3,0,"R$0,01 ","0,006","3,3333"
Amazon,Jamildo,01/02/2024,1 x 1,4,0,"R$0,01 ","0,006","2,5"
Amazon,Jamildo,01/02/2024,1 x 1,9,0,"R$0,02 ","0,012","2,2222"
Amazon,Social 1,01/02/2024,1 x 1,7,0,"R$0,01 ","0,006","1,4286"
Amazon,Blog do Torcedor,01/02/2024,1 x 1,2,0,"R$0,00 ","0,0","0,0"
Amazon,Blog do Torcedor,01/02/2024,1 x 1,1,0,"R$0,00 ","0,0","0,0"
Amazon,JC Online,01/02/2024,1 x 1,10,0,"R$0,02 ","0,012","2,0"
Amazon,Rádio Jornal,01/02/2024,1 x 1,1,0,"R$0,00 ","0,0","0,0"
Amazon,TV Jornal,01/02/2024,1 x 1,2,0,"R$0,00 ","0,0","0,0"
Amazon,TV Jornal,01/02/2024,1 x 1,1,0,"R$0,00 ","0,0","0,0"
Amazon,TV Jornal,01/02/2024,1 x 1,2,0,"R$0,01 ","0,006","5,0"
AppNexus,Portal NE10,01/02/2024,1 x 1,85,0,"R$0,08 ","0,048","0,9412"
AppNexus,Portal NE10,01/02/2024,Nativo,20,0,"R$0,02 ","0,012","1,0"
AppNexus,Portal NE10,01/02/2024,1 x 1,75,0,"R$0,06 ","0,036","0,8"
AppNexus,Portal NE10,01/02/2024,1 x 1,81,0,"R$0,08 ","0,048","0,9877"
AppNexus,Portal NE10,01/02/2024,1 x 1,523,0,"R$0,80 ","0,48","1,5296"
AppNexus,Portal NE10,01/02/2024,480 x 360v,104,0,"R$0,08 ","0,048","0,7692"
AppNexus,Portal NE10,01/02/2024,1 x 1,42,0,"R$0,05 ","0,03","1,1905"
AppNexus,Portal NE10,01/02/2024,480 x 360v,13,0,"R$0,01 ","0,006","0,7692"
AppNexus,Interior,01/02/2024,1 x 1,44,0,"R$0,16 ","0,096","3,6364"
AppNexus,Interior,01/02/2024,1 x 1,58,0,"R$0,16 ","0,096","2,7586"
AppNexus,Interior,01/02/2024,480 x 360v,10,0,"R$0,02 ","0,012","2,0"
AppNexus,Interior,01/02/2024,1 x 1,10,0,"R$0,01 ","0,006","1,0"
AppNexus,Portal NE10,01/02/2024,1 x 1,7,0,"R$0,00 ","0,0","0,0"
AppNexus,JC Online,01/02/2024,1 x 1,4126,0,"R$9,58 ","5,748","2,3219"
AppNexus,JC Online,01/02/2024,Nativo,49,0,"R$0,06 ","0,036","1,2245"
AppNexus,Jamildo,01/02/2024,1 x 1,5402,0,"R$13,27 ","7,962","2,4565"
AppNexus,JC Online,01/02/2024,1 x 1,10539,0,"R$16,35 ","9,81","1,5514"
AppNexus,Jamildo,01/02/2024,1 x 1,6690,0,"R$9,37 ","5,622","1,4006"
AppNexus,Jamildo,01/02/2024,1 x 1,361,0,"R$0,70 ","0,42","1,9391"
AppNexus,Jamildo,01/02/2024,480 x 360v,1224,1,"R$3,33 ","1,998","2,7206"
AppNexus,Portal NE10,01/02/2024,1 x 1,39,0,"R$0,03 ","0,018","0,7692"
AppNexus,Social 1,01/02/2024,1 x 1,5516,0,"R$7,91 ","4,746","1,434"
AppNexus,Social 1,01/02/2024,Nativo,25,0,"R$0,03 ","0,018","1,2"
AppNexus,Social 1,01/02/2024,1 x 1,1148,0,"R$1,71 ","1,026","1,4895"
AppNexus,Social 1,01/02/2024,480 x 360v,177,1,"R$0,60 ","0,36","3,3898"
AppNexus,Social 1,01/02/2024,1 x 1,1,0,"R$0,00 ","0,0","0,0"
AppNexus,Blog do Torcedor,01/02/2024,1 x 1,948,0,"R$1,94 ","1,164","2,0464"
AppNexus,Blog do Torcedor,01/02/2024,1 x 1,573,0,"R$0,88 ","0,528","1,5358"
AppNexus,Blog do Torcedor,01/02/2024,480 x 360v,109,0,"R$0,36 ","0,216","3,3028"
AppNexus,JC Online,01/02/2024,480 x 360v,2,0,"R$0,00 ","0,0","0,0"
AppNexus,JC Online,01/02/2024,480 x 360v,462,4,"R$0,66 ","0,396","1,4286"
AppNexus,JC Online,01/02/2024,1 x 1,395,0,"R$0,60 ","0,36","1,519"
AppNexus,JC Online,01/02/2024,1 x 1,1,0,"R$0,01 ","0,006","10,0"
AppNexus,Portal NE10,01/02/2024,1 x 1,120,0,"R$0,24 ","0,144","2,0"
AppNexus,Portal NE10,01/02/2024,Nativo,3,0,"R$0,00 ","0,0","0,0"
AppNexus,Portal NE10,01/02/2024,1 x 1,64,0,"R$0,09 ","0,054","1,4062"
AppNexus,Portal NE10,01/02/2024,480 x 360v,4,0,"R$0,00 ","0,0","0,0"
AppNexus,Portal NE10,01/02/2024,1 x 1,4,0,"R$0,00 ","0,0","0,0"
AppNexus,Rádio Jornal,01/02/2024,1 x 1,631,0,"R$1,02 ","0,612","1,6165"
AppNexus,Rádio Jornal,01/02/2024,Nativo,38,0,"R$0,05 ","0,03","1,3158"
