Anunciante,Bloco de anúncios,Data,Tamanho do criativo,Total de impressões,Total de cliques,Receita Bruta (R$),Receita Líquida,eCPM médio total (R$),Porcentagem do total de impressões visíveis do Active View
( Venda Direta SJCC)  UNIVERSIDADE CATOLICA DE PERNAMBUCO,Receita da Boa,05/07/2024,970 x 250,65,0,"0,58 ","0,348","R$8,89 ","93,85%"
( Venda Direta SJCC)  UNIVERSIDADE CATOLICA DE PERNAMBUCO,TV Jornal,08/07/2024,970 x 250,1,0,"0,01 ","0,006","R$8,89 ","100,00%"
"( Venda Direta SJCC) Ministério do Desenvolvimento e Assistência Social, Família e Combate e Fome",Portal NE10,03/07/2024,970 x 250,4549,0,"89,84 ","53,904","R$19,75 ","71,38%"
"( Venda Direta SJCC) Ministério do Desenvolvimento e Assistência Social, Família e Combate e Fome",Portal NE10,04/07/2024,970 x 250,5501,0,"108,64 ","65,184","R$19,75 ","68,33%"
"( Venda Direta SJCC) Ministério do Desenvolvimento e Assistência Social, Família e Combate e Fome",Portal NE10,05/07/2024,970 x 250,5382,0,"106,29 ","63,774","R$19,75 ","62,56%"
"( Venda Direta SJCC) Ministério do Desenvolvimento e Assistência Social, Família e Combate e Fome",Portal NE10,06/07/2024,970 x 250,1611,0,"31,82 ","19,092","R$19,75 ","68,84%"
"( Venda Direta SJCC) Ministério do Desenvolvimento e Assistência Social, Família e Combate e Fome",Portal NE10,07/07/2024,970 x 250,1470,0,"29,03 ","17,418","R$19,75 ","63,47%"
"( Venda Direta SJCC) Ministério do Desenvolvimento e Assistência Social, Família e Combate e Fome",Portal NE10,08/07/2024,970 x 250,998,0,"19,71 ","11,826","R$19,75 ","70,14%"
"( Venda Direta SJCC) Ministério do Desenvolvimento e Assistência Social, Família e Combate e Fome",Interior,03/07/2024,970 x 250,338,0,"6,68 ","4,008","R$19,75 ","68,93%"
"( Venda Direta SJCC) Ministério do Desenvolvimento e Assistência Social, Família e Combate e Fome",Interior,04/07/2024,970 x 250,1875,0,"37,03 ","22,218","R$19,75 ","61,17%"
"( Venda Direta SJCC) Ministério do Desenvolvimento e Assistência Social, Família e Combate e Fome",Interior,05/07/2024,970 x 250,1480,0,"29,23 ","17,538","R$19,75 ","67,64%"
"( Venda Direta SJCC) Ministério do Desenvolvimento e Assistência Social, Família e Combate e Fome",Interior,06/07/2024,970 x 250,631,0,"12,46 ","7,476","R$19,75 ","60,06%"
"( Venda Direta SJCC) Ministério do Desenvolvimento e Assistência Social, Família e Combate e Fome",Interior,07/07/2024,970 x 250,394,0,"7,78 ","4,668","R$19,75 ","67,01%"
"( Venda Direta SJCC) Ministério do Desenvolvimento e Assistência Social, Família e Combate e Fome",Interior,08/07/2024,970 x 250,3016,0,"59,57 ","35,742","R$19,75 ","71,22%"
"( Venda Direta SJCC) Ministério do Desenvolvimento e Assistência Social, Família e Combate e Fome",Interior,09/07/2024,970 x 250,1704,0,"33,65 ","20,19","R$19,75 ","87,09%"
"( Venda Direta SJCC) Ministério do Desenvolvimento e Assistência Social, Família e Combate e Fome",Interior,08/07/2024,970 x 250,1788,0,"35,31 ","21,186","R$19,75 ","97,54%"
"( Venda Direta SJCC) Ministério do Desenvolvimento e Assistência Social, Família e Combate e Fome",Interior,09/07/2024,970 x 250,3127,0,"61,76 ","37,056","R$19,75 ","94,98%"
"( Venda Direta SJCC) Ministério do Desenvolvimento e Assistência Social, Família e Combate e Fome",Interior,03/07/2024,970 x 250,2,0,"0,04 ","0,024","R$19,75 ","50,00%"
"( Venda Direta SJCC) Ministério do Desenvolvimento e Assistência Social, Família e Combate e Fome",Interior,04/07/2024,970 x 250,3,0,"0,06 ","0,036","R$19,75 ","33,33%"
"( Venda Direta SJCC) Ministério do Desenvolvimento e Assistência Social, Família e Combate e Fome",Interior,05/07/2024,970 x 250,1,0,"0,02 ","0,012","R$19,75 ","0,00%"
"( Venda Direta SJCC) Ministério do Desenvolvimento e Assistência Social, Família e Combate e Fome",Interior,07/07/2024,970 x 250,7,0,"0,14 ","0,084","R$19,75 ","100,00%"
"( Venda Direta SJCC) Ministério do Desenvolvimento e Assistência Social, Família e Combate e Fome",Interior,08/07/2024,970 x 250,20,0,"0,40 ","0,24","R$19,75 ","70,00%"
"( Venda Direta SJCC) Ministério do Desenvolvimento e Assistência Social, Família e Combate e Fome",JC Online,02/07/2024,970 x 250,10855,0,"214,39 ","128,634","R$19,75 ","74,72%"
"( Venda Direta SJCC) Ministério do Desenvolvimento e Assistência Social, Família e Combate e Fome",JC Online,03/07/2024,970 x 250,1985,0,"39,20 ","23,52","R$19,75 ","72,70%"
"( Venda Direta SJCC) Ministério do Desenvolvimento e Assistência Social, Família e Combate e Fome",JC Online,08/07/2024,970 x 250,21213,0,"418,96 ","251,376","R$19,75 ","67,94%"
"( Venda Direta SJCC) Ministério do Desenvolvimento e Assistência Social, Família e Combate e Fome",JC Online,09/07/2024,970 x 250,26369,0,"520,79 ","312,474","R$19,75 ","69,75%"
"( Venda Direta SJCC) Ministério do Desenvolvimento e Assistência Social, Família e Combate e Fome",JC Online,08/07/2024,970 x 250,117,0,"2,31 ","1,386","R$19,75 ","83,76%"
"( Venda Direta SJCC) Ministério do Desenvolvimento e Assistência Social, Família e Combate e Fome",JC Online,09/07/2024,970 x 250,96,0,"1,90 ","1,14","R$19,75 ","91,67%"
"( Venda Direta SJCC) Ministério do Desenvolvimento e Assistência Social, Família e Combate e Fome",JC Online,08/07/2024,970 x 250,17,0,"0,34 ","0,204","R$19,75 ","94,12%"
"( Venda Direta SJCC) Ministério do Desenvolvimento e Assistência Social, Família e Combate e Fome",JC Online,09/07/2024,970 x 250,76,0,"1,50 ","0,9","R$19,75 ","98,68%"
"( Venda Direta SJCC) Ministério do Desenvolvimento e Assistência Social, Família e Combate e Fome",JC Online,02/07/2024,970 x 250,4,0,"0,08 ","0,048","R$19,75 ","75,00%"
