Advertiser,Ad unit,Date,Creative size,Advertiser ID,Ad unit ID,Total impressions,Total clicks,Total CPM and CPC revenue (R$),Total average eCPM (R$),Total Active View % viewable impressions
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,parceiros (10869286) » ne_10 (11238766) » home (21723566961),10/1/2024,728 x 90,4597768744,",10869286,11238766,21723566961,",23,0,"R$0,00 ","R$0,00 ","95,65%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,parceiros (10869286) » ne_10 (11238766) » home (21723566961),10/1/2024,970 x 250,4597768744,",10869286,11238766,21723566961,",3179,6,"R$0,00 ","R$0,00 ","72,41%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,parceiros (10869286) » ne_10 (11238766) » home (21723566961),10/1/2024,970 x 90,4597768744,",10869286,11238766,21723566961,",26,0,"R$0,00 ","R$0,00 ","76,92%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,parceiros (10869286) » ne_10 (11238766) » home (21723566961),10/1/2024,Native,4597768744,",10869286,11238766,21723566961,",658,4,"R$0,00 ","R$0,00 ","58,75%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,parceiros (10869286) » ne_10 (11238766) » home (21723566961),10/2/2024,300 x 250,4597768744,",10869286,11238766,21723566961,",109,0,"R$0,00 ","R$0,00 ","59,63%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,parceiros (10869286) » ne_10 (11238766) » home (21723566961),10/2/2024,300 x 600,4597768744,",10869286,11238766,21723566961,",7,0,"R$0,00 ","R$0,00 ","100,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,parceiros (10869286) » ne_10 (11238766) » home (21723566961),10/2/2024,320 x 50,4597768744,",10869286,11238766,21723566961,",307,0,"R$0,00 ","R$0,00 ","66,12%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,parceiros (10869286) » ne_10 (11238766) » home (21723566961),10/2/2024,60 x 60,4597768744,",10869286,11238766,21723566961,",8412,2,"R$0,00 ","R$0,00 ","67,95%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,parceiros (10869286) » ne_10 (11238766) » home (21723566961),10/2/2024,728 x 90,4597768744,",10869286,11238766,21723566961,",4,0,"R$0,00 ","R$0,00 ","75,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,parceiros (10869286) » ne_10 (11238766) » home (21723566961),10/2/2024,970 x 250,4597768744,",10869286,11238766,21723566961,",3595,2,"R$0,00 ","R$0,00 ","71,09%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,parceiros (10869286) » ne_10 (11238766) » home (21723566961),10/2/2024,970 x 90,4597768744,",10869286,11238766,21723566961,",3,0,"R$0,00 ","R$0,00 ","100,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,parceiros (10869286) » ne_10 (11238766) » home (21723566961),10/2/2024,Native,4597768744,",10869286,11238766,21723566961,",527,3,"R$0,00 ","R$0,00 ","67,36%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,parceiros (10869286) » ne_10 (11238766) » home (21723566961) » anchor (22835570053),10/1/2024,320 x 100,4597768744,",10869286,11238766,21723566961,22835570053,",2,0,"R$0,00 ","R$0,00 ","50,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,parceiros (10869286) » ne_10 (11238766) » home (21723566961) » anchor (22835570053),10/1/2024,320 x 50,4597768744,",10869286,11238766,21723566961,22835570053,",3978,3,"R$0,00 ","R$0,00 ","85,75%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,parceiros (10869286) » ne_10 (11238766) » home (21723566961) » anchor (22835570053),10/1/2024,728 x 90,4597768744,",10869286,11238766,21723566961,22835570053,",5,0,"R$0,00 ","R$0,00 ","100,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,parceiros (10869286) » ne_10 (11238766) » home (21723566961) » anchor (22835570053),10/1/2024,970 x 90,4597768744,",10869286,11238766,21723566961,22835570053,",1,0,"R$0,00 ","R$0,00 ","100,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,parceiros (10869286) » ne_10 (11238766) » home (21723566961) » anchor (22835570053),10/1/2024,Native,4597768744,",10869286,11238766,21723566961,22835570053,",11,0,"R$0,00 ","R$0,00 ","100,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,parceiros (10869286) » ne_10 (11238766) » home (21723566961) » anchor (22835570053),10/2/2024,320 x 100,4597768744,",10869286,11238766,21723566961,22835570053,",1,0,"R$0,00 ","R$0,00 ","100,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,parceiros (10869286) » ne_10 (11238766) » home (21723566961) » anchor (22835570053),10/2/2024,320 x 50,4597768744,",10869286,11238766,21723566961,22835570053,",3549,2,"R$0,00 ","R$0,00 ","83,77%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,parceiros (10869286) » ne_10 (11238766) » home (21723566961) » anchor (22835570053),10/2/2024,970 x 90,4597768744,",10869286,11238766,21723566961,22835570053,",3,0,"R$0,00 ","R$0,00 ","100,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,parceiros (10869286) » ne_10 (11238766) » home (21723566961) » anchor (22835570053),10/2/2024,Native,4597768744,",10869286,11238766,21723566961,22835570053,",10,0,"R$0,00 ","R$0,00 ","80,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,parceiros (10869286) » ne_10 (11238766) » interior (21737767482),10/1/2024,300 x 250,4597768744,",10869286,11238766,21737767482,",373,3,"R$0,00 ","R$0,00 ","67,83%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,parceiros (10869286) » ne_10 (11238766) » interior (21737767482),10/1/2024,300 x 600,4597768744,",10869286,11238766,21737767482,",14,0,"R$0,00 ","R$0,00 ","85,71%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,parceiros (10869286) » ne_10 (11238766) » interior (21737767482),10/1/2024,320 x 50,4597768744,",10869286,11238766,21737767482,",861,0,"R$0,00 ","R$0,00 ","32,06%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,parceiros (10869286) » ne_10 (11238766) » interior (21737767482),10/1/2024,728 x 90,4597768744,",10869286,11238766,21737767482,",56,0,"R$0,00 ","R$0,00 ","35,71%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,parceiros (10869286) » ne_10 (11238766) » interior (21737767482),10/1/2024,970 x 250,4597768744,",10869286,11238766,21737767482,",458,0,"R$0,00 ","R$0,00 ","62,45%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,parceiros (10869286) » ne_10 (11238766) » interior (21737767482),10/1/2024,970 x 90,4597768744,",10869286,11238766,21737767482,",33,0,"R$0,00 ","R$0,00 ","42,42%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,parceiros (10869286) » ne_10 (11238766) » interior (21737767482),10/1/2024,Native,4597768744,",10869286,11238766,21737767482,",675,0,"R$0,00 ","R$0,00 ","34,81%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,parceiros (10869286) » ne_10 (11238766) » interior (21737767482),10/2/2024,300 x 250,4597768744,",10869286,11238766,21737767482,",156,0,"R$0,00 ","R$0,00 ","75,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,parceiros (10869286) » ne_10 (11238766) » interior (21737767482),10/2/2024,300 x 600,4597768744,",10869286,11238766,21737767482,",15,0,"R$0,00 ","R$0,00 ","86,67%"
