Anunciante,Bloco de anúncios,Data,Tamanho do criativo,Total de impressões,Total de cliques,Receita Bruta (R$),Receita Líquida,eCPM médio total (R$),Porcentagem do total de impressões visíveis do Active View
(Venda Direta SJCC) Armazem coral,Portal NE10,01/05/2024,320 x 50,23,0,"R$0,49 ","0,294","R$21,42 ","78,26%"
(Venda Direta SJCC) Armazem coral,Portal NE10,02/05/2024,300 x 250,15,0,"R$0,32 ","0,192","R$21,42 ","86,67%"
(Venda Direta SJCC) Armazem coral,Portal NE10,02/05/2024,300 x 600,2,0,"R$0,04 ","0,024","R$21,42 ","50,00%"
(Venda Direta SJCC) Armazem coral,Portal NE10,02/05/2024,320 x 50,19,0,"R$0,41 ","0,246","R$21,42 ","78,95%"
(Venda Direta SJCC) Armazem coral,Portal NE10,02/05/2024,728 x 90,1,0,"R$0,02 ","0,012","R$21,42 ","0,00%"
(Venda Direta SJCC) Armazem coral,Portal NE10,02/05/2024,970 x 250,5,0,"R$0,11 ","0,066","R$21,42 ","0,00%"
(Venda Direta SJCC) Armazem coral,Portal NE10,01/05/2024,320 x 50,1010,0,"R$21,63 ","12,978","R$21,42 ","96,14%"
(Venda Direta SJCC) Armazem coral,Portal NE10,01/05/2024,728 x 90,106,0,"R$2,27 ","1,362","R$21,42 ","91,51%"
(Venda Direta SJCC) Armazem coral,Portal NE10,02/05/2024,320 x 50,1408,1,"R$30,16 ","18,096","R$21,42 ","95,24%"
(Venda Direta SJCC) Armazem coral,Portal NE10,02/05/2024,728 x 90,79,0,"R$1,69 ","1,014","R$21,42 ","100,00%"
(Venda Direta SJCC) Armazem coral,Portal NE10,02/05/2024,480 x 360v,960,5,"R$0,00 ","0,0","R$0,00 ","85,96%"
(Venda Direta SJCC) Armazem coral,Portal NE10,01/05/2024,300 x 250,64,0,"R$1,37 ","0,822","R$21,42 ","48,44%"
(Venda Direta SJCC) Armazem coral,Portal NE10,02/05/2024,300 x 250,71,0,"R$1,52 ","0,912","R$21,42 ","38,03%"
(Venda Direta SJCC) Armazem coral,Portal NE10,01/05/2024,300 x 250,2,0,"R$0,04 ","0,024","R$21,42 ","50,00%"
(Venda Direta SJCC) Armazem coral,Portal NE10,01/05/2024,320 x 50,4,0,"R$0,09 ","0,054","R$21,42 ","50,00%"
(Venda Direta SJCC) Armazem coral,Portal NE10,02/05/2024,300 x 250,2,0,"R$0,04 ","0,024","R$21,42 ","0,00%"
(Venda Direta SJCC) Armazem coral,JC Online,01/05/2024,300 x 250,1392,1,"R$20,82 ","12,492","R$14,96 ","59,12%"
(Venda Direta SJCC) Armazem coral,JC Online,01/05/2024,300 x 600,21,0,"R$0,31 ","0,186","R$14,96 ","57,14%"
(Venda Direta SJCC) Armazem coral,JC Online,01/05/2024,320 x 50,2919,3,"R$43,67 ","26,202","R$14,96 ","88,53%"
(Venda Direta SJCC) Armazem coral,JC Online,01/05/2024,728 x 90,4,0,"R$0,06 ","0,036","R$14,96 ","75,00%"
(Venda Direta SJCC) Armazem coral,JC Online,01/05/2024,970 x 250,3,0,"R$0,04 ","0,024","R$14,96 ","66,67%"
(Venda Direta SJCC) Armazem coral,JC Online,02/05/2024,300 x 250,2275,7,"R$34,03 ","20,418","R$14,96 ","67,94%"
(Venda Direta SJCC) Armazem coral,JC Online,02/05/2024,300 x 600,2,0,"R$0,03 ","0,018","R$14,96 ","0,00%"
(Venda Direta SJCC) Armazem coral,JC Online,02/05/2024,320 x 50,1209,3,"R$18,09 ","10,854","R$14,96 ","85,11%"
(Venda Direta SJCC) Armazem coral,JC Online,02/05/2024,970 x 250,1,0,"R$0,01 ","0,006","R$14,96 ","0,00%"
(Venda Direta SJCC) Armazem coral,JC Online,01/05/2024,320 x 50,1062,2,"R$15,89 ","9,534","R$14,96 ","97,08%"
(Venda Direta SJCC) Armazem coral,JC Online,01/05/2024,728 x 90,669,0,"R$10,01 ","6,006","R$14,96 ","93,12%"
(Venda Direta SJCC) Armazem coral,JC Online,02/05/2024,320 x 50,2151,2,"R$32,18 ","19,308","R$14,96 ","97,30%"
(Venda Direta SJCC) Armazem coral,JC Online,02/05/2024,728 x 90,176,0,"R$2,63 ","1,578","R$14,96 ","98,30%"
(Venda Direta SJCC) Armazem coral,Jamildo,02/05/2024,480 x 360v,497,2,"R$0,00 ","0,0","R$0,00 ","85,28%"
(Venda Direta SJCC) Armazem coral,Portal NE10,02/05/2024,480 x 360v,1,0,"R$0,00 ","0,0","R$0,00 ","100,00%"
(Venda Direta SJCC) Armazem coral,Social 1,02/05/2024,480 x 360v,41,0,"R$0,00 ","0,0","R$0,00 ","82,93%"
(Venda Direta SJCC) Armazem coral,Blog do Torcedor,02/05/2024,480 x 360v,62,0,"R$0,00 ","0,0","R$0,00 ","91,94%"
(Venda Direta SJCC) Armazem coral,JC Online,02/05/2024,480 x 360v,690,1,"R$0,00 ","0,0","R$0,00 ","85,76%"
(Venda Direta SJCC) Armazem coral,JC Online,01/05/2024,300 x 250,164,0,"R$2,45 ","1,47","R$14,96 ","57,93%"
(Venda Direta SJCC) Armazem coral,JC Online,02/05/2024,300 x 250,8,0,"R$0,12 ","0,072","R$14,96 ","25,00%"
(Venda Direta SJCC) Armazem coral,JC Online,01/05/2024,320 x 50,1,0,"R$0,01 ","0,006","R$14,96 ","100,00%"
(Venda Direta SJCC) Armazem coral,Portal NE10,01/05/2024,300 x 250,548,4,"R$11,52 ","6,912","R$21,03 ","66,18%"
(Venda Direta SJCC) Armazem coral,Portal NE10,01/05/2024,300 x 600,17,0,"R$0,36 ","0,216","R$21,42 ","52,94%"
(Venda Direta SJCC) Armazem coral,Portal NE10,01/05/2024,320 x 50,367,0,"R$7,78 ","4,668","R$21,19 ","85,56%"
(Venda Direta SJCC) Armazem coral,Portal NE10,01/05/2024,970 x 250,5,0,"R$0,04 ","0,024","R$8,57 ","60,00%"
(Venda Direta SJCC) Armazem coral,Portal NE10,02/05/2024,300 x 250,610,1,"R$12,89 ","7,734","R$21,14 ","66,01%"
(Venda Direta SJCC) Armazem coral,Portal NE10,02/05/2024,300 x 600,21,0,"R$0,45 ","0,27","R$21,42 ","42,86%"
(Venda Direta SJCC) Armazem coral,Portal NE10,02/05/2024,320 x 50,388,1,"R$8,18 ","4,908","R$21,09 ","80,41%"
(Venda Direta SJCC) Armazem coral,Portal NE10,02/05/2024,480 x 360v,2,0,"R$0,00 ","0,0","R$0,00 ","100,00%"
(Venda Direta SJCC) Armazem coral,Portal NE10,02/05/2024,728 x 90,13,0,"R$0,28 ","0,168","R$21,42 ","107,69%"
(Venda Direta SJCC) Armazem coral,Portal NE10,02/05/2024,970 x 250,25,0,"R$0,43 ","0,258","R$17,14 ","64,00%"
(Venda Direta SJCC) Armazem coral,Portal NE10,01/05/2024,320 x 50,11,0,"R$0,19 ","0,114","R$17,53 ","100,00%"
(Venda Direta SJCC) Armazem coral,Portal NE10,01/05/2024,728 x 90,46,0,"R$0,99 ","0,594","R$21,42 ","100,00%"
(Venda Direta SJCC) Armazem coral,Portal NE10,02/05/2024,320 x 50,61,0,"R$1,26 ","0,756","R$20,72 ","100,00%"
(Venda Direta SJCC) Armazem coral,Portal NE10,02/05/2024,728 x 90,113,0,"R$2,42 ","1,452","R$21,42 ","100,00%"
(Venda Direta SJCC) Armazem coral,Portal NE10,02/05/2024,970 x 90,1,0,"R$0,00 ","0,0","R$0,00 ","100,00%"
(Venda Direta SJCC) Armazem coral,Portal NE10,02/05/2024,480 x 360v,44,0,"R$0,00 ","0,0","R$0,00 ","93,18%"
(Venda Direta SJCC) Armazem coral,Portal NE10,02/05/2024,300 x 250,2,0,"R$0,02 ","0,012","R$10,71 ","100,00%"
(Venda Direta SJCC) Armazem coral,Rádio Jornal,01/05/2024,300 x 250,5069,7,"R$108,58 ","65,148","R$21,42 ","75,28%"
(Venda Direta SJCC) Armazem coral,Rádio Jornal,01/05/2024,320 x 50,63,0,"R$1,35 ","0,81","R$21,42 ","87,30%"
(Venda Direta SJCC) Armazem coral,Rádio Jornal,02/05/2024,300 x 250,3835,7,"R$82,15 ","49,29","R$21,42 ","72,67%"
(Venda Direta SJCC) Armazem coral,Rádio Jornal,02/05/2024,320 x 50,47,0,"R$1,01 ","0,606","R$21,42 ","78,72%"
(Venda Direta SJCC) CLEVER GESTL LTDA,Portal NE10,01/05/2024,300 x 350,2648,0,"R$13,24 ","7,944","R$5,00 ","3,21%"
(Venda Direta SJCC) CLEVER GESTL LTDA,Portal NE10,02/05/2024,300 x 350,2550,0,"R$12,75 ","7,65","R$5,00 ","2,94%"
(Venda Direta SJCC) CLEVER GESTL LTDA,JC Online,01/05/2024,300 x 350,21144,0,"R$105,72 ","63,432","R$5,00 ","5,48%"
(Venda Direta SJCC) CLEVER GESTL LTDA,JC Online,02/05/2024,300 x 350,14542,0,"R$72,71 ","43,626","R$5,00 ","3,95%"
(Venda Direta SJCC) CLEVER GESTL LTDA,Social 1,01/05/2024,300 x 350,305431,0,"R$1527,16 ","916,296","R$5,00 ","5,11%"
