Anunciante,Bloco de anúncios,Data,Tamanho do criativo,ID do anunciante,ID do bloco de anúncios,Total de impressões,Total de cliques,Receita total de CPM e de CPC (R$),eCPM médio total (R$),Porcentagem do total de impressões visíveis do Active View
(Venda Direta SJCC) Armazem coral,parceiros (10869286) » ne_10 (11238766) » noticias (21722702436),5/1/2024,300 x 600,4600319505,",10869286,11238766,21722702436,",17,0,"R$0,36 ","R$21,42 ","52,94%"
(Venda Direta SJCC) Armazem coral,parceiros (10869286) » ne_10 (11238766) » noticias (21722702436),5/1/2024,320 x 50,4600319505,",10869286,11238766,21722702436,",367,0,"R$7,78 ","R$21,19 ","85,56%"
(Venda Direta SJCC) Armazem coral,parceiros (10869286) » ne_10 (11238766) » noticias (21722702436),5/1/2024,970 x 250,4600319505,",10869286,11238766,21722702436,",5,0,"R$0,04 ","R$8,57 ","60,00%"
(Venda Direta SJCC) Armazem coral,parceiros (10869286) » ne_10 (11238766) » noticias (21722702436) » anchor (22835337900),5/1/2024,320 x 50,4600319505,",10869286,11238766,21722702436,22835337900,",11,0,"R$0,19 ","R$17,53 ","100,00%"
(Venda Direta SJCC) Armazem coral,parceiros (10869286) » ne_10 (11238766) » noticias (21722702436) » anchor (22835337900),5/1/2024,728 x 90,4600319505,",10869286,11238766,21722702436,22835337900,",46,0,"R$0,99 ","R$21,42 ","100,00%"
(Venda Direta SJCC) Armazem coral,parceiros (10869286) » ne_10 (11238766) » radio_jornal (21719551231) » app (23085685547),5/1/2024,300 x 250,4600319505,",10869286,11238766,21719551231,23085685547,",5069,7,"R$108,58 ","R$21,42 ","75,28%"
(Venda Direta SJCC) Armazem coral,parceiros (10869286) » ne_10 (11238766) » radio_jornal (21719551231) » app (23085685547),5/1/2024,320 x 50,4600319505,",10869286,11238766,21719551231,23085685547,",63,0,"R$1,35 ","R$21,42 ","87,30%"
(Venda Direta SJCC) CLEVER GESTL LTDA,parceiros (10869286) » ne_10 (11238766) » home (21723566961),5/1/2024,300 x 350,4785892703,",10869286,11238766,21723566961,",2648,0,"R$13,24 ","R$5,00 ","3,21%"
(Venda Direta SJCC) CLEVER GESTL LTDA,parceiros (10869286) » ne_10 (11238766) » jornal_do_commercio (21268726),5/1/2024,300 x 350,4785892703,",10869286,11238766,21268726,",21144,0,"R$105,72 ","R$5,00 ","5,48%"
(Venda Direta SJCC) CLEVER GESTL LTDA,parceiros (10869286) » ne_10 (11238766) » jornal_do_commercio (21268726) » blog (21725415585) » social1 (22503128490),5/1/2024,300 x 350,4785892703,",10869286,11238766,21268726,21725415585,22503128490,",305431,0,"R$1.527,16 ","R$5,00 ","5,11%"
(Venda Direta SJCC) CLEVER GESTL LTDA,parceiros (10869286) » ne_10 (11238766) » jornal_do_commercio (21268726) » blog (21725415585) » torcedor (22462745544),5/1/2024,300 x 350,4785892703,",10869286,11238766,21268726,21725415585,22462745544,",498,0,"R$2,49 ","R$5,00 ","5,42%"
(Venda Direta SJCC) CLEVER GESTL LTDA,parceiros (10869286) » ne_10 (11238766) » radio_jornal (21719551231) » app (23085685547),5/1/2024,300 x 250,4785892703,",10869286,11238766,21719551231,23085685547,",4762,0,"R$0,00 ","R$0,00 ","71,57%"
(Venda Direta SJCC) PERDIGÃO,parceiros (10869286) » ne_10 (11238766) » home (21723566961),5/1/2024,300 x 250,5465213743,",10869286,11238766,21723566961,",23,0,"R$0,00 ","R$0,00 ","39,13%"
(Venda Direta SJCC) PERDIGÃO,parceiros (10869286) » ne_10 (11238766) » home (21723566961),5/1/2024,320 x 50,5465213743,",10869286,11238766,21723566961,",89,0,"R$0,00 ","R$0,00 ","74,16%"
(Venda Direta SJCC) PERDIGÃO,parceiros (10869286) » ne_10 (11238766) » home (21723566961) » anchor (22835570053),5/1/2024,320 x 50,5465213743,",10869286,11238766,21723566961,22835570053,",168,0,"R$0,00 ","R$0,00 ","92,86%"
(Venda Direta SJCC) PERDIGÃO,parceiros (10869286) » ne_10 (11238766) » home (21723566961) » anchor (22835570053),5/1/2024,728 x 90,5465213743,",10869286,11238766,21723566961,22835570053,",87,0,"R$0,00 ","R$0,00 ","78,16%"
(Venda Direta SJCC) PERDIGÃO,parceiros (10869286) » ne_10 (11238766) » home (21723566961) » in-article (21814819361) » outstream (22691595912),5/1/2024,300 x 250,5465213743,",10869286,11238766,21723566961,21814819361,22691595912,",29,0,"R$0,00 ","R$0,00 ","44,83%"
(Venda Direta SJCC) PERDIGÃO,parceiros (10869286) » ne_10 (11238766) » interior (21737767482),5/1/2024,300 x 250,5465213743,",10869286,11238766,21737767482,",112,0,"R$0,00 ","R$0,00 ","56,25%"
(Venda Direta SJCC) PERDIGÃO,parceiros (10869286) » ne_10 (11238766) » interior (21737767482),5/1/2024,320 x 50,5465213743,",10869286,11238766,21737767482,",94,0,"R$0,00 ","R$0,00 ","75,53%"
(Venda Direta SJCC) PERDIGÃO,parceiros (10869286) » ne_10 (11238766) » interior (21737767482) » anchor (22834637125),5/1/2024,320 x 50,5465213743,",10869286,11238766,21737767482,22834637125,",58,0,"R$0,00 ","R$0,00 ","94,83%"
(Venda Direta SJCC) PERDIGÃO,parceiros (10869286) » ne_10 (11238766) » interior (21737767482) » anchor (22834637125),5/1/2024,728 x 90,5465213743,",10869286,11238766,21737767482,22834637125,",22,0,"R$0,00 ","R$0,00 ","131,82%"
(Venda Direta SJCC) PERDIGÃO,parceiros (10869286) » ne_10 (11238766) » interior (21737767482) » produtos (22024412677) » comidas_gigantes (22024442840),5/1/2024,320 x 50,5465213743,",10869286,11238766,21737767482,22024412677,22024442840,",1,0,"R$0,00 ","R$0,00 ","0,00%"
(Venda Direta SJCC) PERDIGÃO,parceiros (10869286) » ne_10 (11238766) » noticias (21722702436),5/1/2024,300 x 250,5465213743,",10869286,11238766,21722702436,",43,0,"R$0,00 ","R$0,00 ","62,79%"
(Venda Direta SJCC) PERDIGÃO,parceiros (10869286) » ne_10 (11238766) » noticias (21722702436),5/1/2024,300 x 600,5465213743,",10869286,11238766,21722702436,",7,0,"R$0,00 ","R$0,00 ","42,86%"
