Anunciante,Bloco de anúncios,Data,Mês,Tamanho do criativo,Total de impressões,Total de cliques,Receita Bruta (R$),Receita Líquida,eCPM médio total (R$),Porcentagem do total de impressões visíveis do Active View
(Venda Direta SJCC) - SICREDI,Rádio Jornal,17/04/2024,4,320 x 50,1,0,"R$0,01 ","0,006","R$6,67 ","100,00%"
(Venda Direta SJCC) - SICREDI,parceiros (10869286) » ne_10 (11238766) » radio_jornal (21719551231) » app (23085685547),17/04/2024,4,300 x 250,3641,6,"R$24,27 ","14,562","R$6,67 ","70,37%"
(Venda Direta SJCC) - SICREDI,parceiros (10869286) » ne_10 (11238766) » radio_jornal (21719551231) » app (23085685547),17/04/2024,4,320 x 50,37,0,"R$0,25 ","0,15","R$6,67 ","94,59%"
(Venda Direta SJCC) - SICREDI,Rádio Jornal,17/04/2024,4,300 x 250,10,0,"R$0,07 ","0,042","R$6,67 ","50,00%"
(Venda Direta SJCC) Armazem coral,Portal NE10,17/04/2024,4,300 x 600,1,0,"R$0,02 ","0,012","R$21,42 ","100,00%"
(Venda Direta SJCC) Armazem coral,Portal NE10,17/04/2024,4,320 x 50,2,0,"R$0,04 ","0,024","R$21,42 ","100,00%"
(Venda Direta SJCC) Armazem coral,Portal NE10,17/04/2024,4,320 x 50,13,0,"R$0,28 ","0,168","R$21,42 ","100,00%"
(Venda Direta SJCC) Armazem coral,Portal NE10,17/04/2024,4,728 x 90,31,0,"R$0,66 ","0,396","R$21,42 ","90,32%"
(Venda Direta SJCC) Armazem coral,Portal NE10,17/04/2024,4,480 x 360v,1106,3,"R$30,42 ","18,252","R$27,50 ","82,68%"
(Venda Direta SJCC) Armazem coral,Portal NE10,17/04/2024,4,300 x 250,13,0,"R$0,28 ","0,168","R$21,42 ","38,46%"
(Venda Direta SJCC) Armazem coral,Portal NE10,17/04/2024,4,300 x 250,1,0,"R$0,02 ","0,012","R$21,42 ","100,00%"
(Venda Direta SJCC) Armazem coral,JC Online,17/04/2024,4,300 x 250,1281,2,"R$19,16 ","11,496","R$14,96 ","68,93%"
(Venda Direta SJCC) Armazem coral,JC Online,17/04/2024,4,300 x 600,13,0,"R$0,19 ","0,114","R$14,96 ","76,92%"
(Venda Direta SJCC) Armazem coral,JC Online,17/04/2024,4,320 x 50,2151,1,"R$32,18 ","19,308","R$14,96 ","86,66%"
(Venda Direta SJCC) Armazem coral,JC Online,17/04/2024,4,480 x 360v,1,0,"R$0,02 ","0,012","R$22,00 ","100,00%"
(Venda Direta SJCC) Armazem coral,JC Online,17/04/2024,4,320 x 50,1431,3,"R$21,41 ","12,846","R$14,96 ","97,41%"
(Venda Direta SJCC) Armazem coral,JC Online,17/04/2024,4,728 x 90,1702,1,"R$25,46 ","15,276","R$14,96 ","95,89%"
(Venda Direta SJCC) Armazem coral,JC Online,17/04/2024,4,480 x 360v,2697,12,"R$59,33 ","35,598","R$22,00 ","90,64%"
(Venda Direta SJCC) Armazem coral,JC Online,17/04/2024,4,300 x 250,10,0,"R$0,15 ","0,09","R$14,96 ","40,00%"
(Venda Direta SJCC) Armazem coral,Portal NE10,17/04/2024,4,300 x 250,85,1,"R$1,69 ","1,014","R$19,91 ","54,12%"
(Venda Direta SJCC) Armazem coral,Portal NE10,17/04/2024,4,300 x 600,3,0,"R$0,06 ","0,036","R$21,42 ","33,33%"
(Venda Direta SJCC) Armazem coral,Portal NE10,17/04/2024,4,320 x 50,61,0,"R$1,29 ","0,774","R$21,07 ","90,16%"
(Venda Direta SJCC) Armazem coral,Portal NE10,17/04/2024,4,480 x 360v,4,0,"R$0,11 ","0,066","R$27,50 ","100,00%"
(Venda Direta SJCC) Armazem coral,Portal NE10,17/04/2024,4,320 x 50,33,0,"R$0,19 ","0,114","R$5,84 ","96,97%"
(Venda Direta SJCC) Armazem coral,Portal NE10,17/04/2024,4,728 x 90,7,0,"R$0,15 ","0,09","R$21,42 ","85,71%"
(Venda Direta SJCC) Armazem coral,Portal NE10,17/04/2024,4,480 x 360v,91,0,"R$2,50 ","1,5","R$27,50 ","84,78%"
(Venda Direta SJCC) Armazem coral,parceiros (10869286) » ne_10 (11238766) » radio_jornal (21719551231) » app (23085685547),17/04/2024,4,300 x 250,6926,8,"R$148,35 ","89,01","R$21,42 ","76,54%"
(Venda Direta SJCC) Armazem coral,parceiros (10869286) » ne_10 (11238766) » radio_jornal (21719551231) » app (23085685547),17/04/2024,4,320 x 50,62,0,"R$1,33 ","0,798","R$21,42 ","77,42%"
(Venda Direta SJCC) CLEVER GESTL LTDA,Portal NE10,17/04/2024,4,300 x 350,2711,0,"R$13,56 ","8,136","R$5,00 ","2,69%"
(Venda Direta SJCC) CLEVER GESTL LTDA,JC Online,17/04/2024,4,300 x 350,25297,0,"R$126,49 ","75,894","R$5,00 ","3,19%"
(Venda Direta SJCC) CLEVER GESTL LTDA,Social 1,17/04/2024,4,300 x 350,236268,0,"R$1181,34 ","708,804","R$5,00 ","3,44%"
(Venda Direta SJCC) CLEVER GESTL LTDA,Blog do Torcedor,17/04/2024,4,300 x 350,127,0,"R$0,64 ","0,384","R$5,00 ","10,24%"
(Venda Direta SJCC) CLEVER GESTL LTDA,parceiros (10869286) » ne_10 (11238766) » radio_jornal (21719551231) » app (23085685547),17/04/2024,4,300 x 250,2864,0,"R$0,00 ","0,0","R$0,00 ","62,22%"
(Venda Direta SJCC) GENERAL MOTORS,JC Online,17/04/2024,4,480 x 360v,7641,3,"R$190,26 ","114,156","R$24,90 ","77,81%"
(Venda Direta SJCC) GENERAL MOTORS,Blog do Torcedor,17/04/2024,4,480 x 360v,4405,9,"R$109,68 ","65,808","R$24,90 ","53,64%"
(Venda Direta SJCC) GENERAL MOTORS,Blog do Torcedor,17/04/2024,4,480 x 360v,175,2,"R$4,36 ","2,616","R$24,90 ","81,40%"
(Venda Direta SJCC) GENERAL MOTORS,JC Online,17/04/2024,4,480 x 360v,1013,2,"R$25,22 ","15,132","R$24,90 ","91,78%"
(Venda Direta SJCC) GENERAL MOTORS,JC Online,17/04/2024,4,480 x 360v,399,0,"R$9,94 ","5,964","R$24,90 ","68,02%"
(Venda Direta SJCC) GENERAL MOTORS,TV Jornal,17/04/2024,4,480 x 360v,1448,2,"R$36,06 ","21,636","R$24,90 ","61,79%"
(Venda Direta SJCC) GENERAL MOTORS,TV Jornal,17/04/2024,4,480 x 360v,1,0,"R$0,02 ","0,012","R$24,90 ","100,00%"
(Venda Direta SJCC) GENERAL MOTORS,TV Jornal,17/04/2024,4,480 x 360v,40,1,"R$1,00 ","0,6","R$24,90 ","89,74%"
(Venda Direta SJCC) PERDIGÃO,Portal NE10,17/04/2024,4,300 x 250,179,0,"R$0,00 ","0,0","R$0,00 ","49,16%"
(Venda Direta SJCC) PERDIGÃO,Portal NE10,17/04/2024,4,300 x 600,10,0,"R$0,00 ","0,0","R$0,00 ","40,00%"
(Venda Direta SJCC) PERDIGÃO,Portal NE10,17/04/2024,4,320 x 50,196,0,"R$0,00 ","0,0","R$0,00 ","63,78%"
(Venda Direta SJCC) PERDIGÃO,Portal NE10,17/04/2024,4,728 x 90,1,0,"R$0,00 ","0,0","R$0,00 ","100,00%"
(Venda Direta SJCC) PERDIGÃO,Portal NE10,17/04/2024,4,320 x 50,89,0,"R$0,00 ","0,0","R$0,00 ","94,38%"
(Venda Direta SJCC) PERDIGÃO,Portal NE10,17/04/2024,4,728 x 90,212,0,"R$0,00 ","0,0","R$0,00 ","90,09%"
(Venda Direta SJCC) PERDIGÃO,Portal NE10,17/04/2024,4,300 x 250,35,0,"R$0,00 ","0,0","R$0,00 ","37,14%"
(Venda Direta SJCC) PERDIGÃO,Interior,17/04/2024,4,300 x 250,11,0,"R$0,00 ","0,0","R$0,00 ","72,73%"
(Venda Direta SJCC) PERDIGÃO,Interior,17/04/2024,4,300 x 600,4,0,"R$0,00 ","0,0","R$0,00 ","100,00%"
(Venda Direta SJCC) PERDIGÃO,Interior,17/04/2024,4,320 x 50,3,0,"R$0,00 ","0,0","R$0,00 ","100,00%"
(Venda Direta SJCC) PERDIGÃO,Interior,17/04/2024,4,320 x 50,13,0,"R$0,00 ","0,0","R$0,00 ","76,92%"
(Venda Direta SJCC) PERDIGÃO,Interior,17/04/2024,4,728 x 90,58,0,"R$0,00 ","0,0","R$0,00 ","108,62%"
(Venda Direta SJCC) PERDIGÃO,Interior,17/04/2024,4,300 x 250,2,0,"R$0,00 ","0,0","R$0,00 ","50,00%"
(Venda Direta SJCC) PERDIGÃO,Interior,17/04/2024,4,320 x 50,1,0,"R$0,00 ","0,0","R$0,00 ","0,00%"
(Venda Direta SJCC) PERDIGÃO,Portal NE10,17/04/2024,4,300 x 250,36,0,"R$0,00 ","0,0","R$0,00 ","69,44%"
(Venda Direta SJCC) PERDIGÃO,Portal NE10,17/04/2024,4,300 x 600,2,0,"R$0,00 ","0,0","R$0,00 ","100,00%"
