Anunciante,Bloco de anúncios,Data,Tamanho do criativo,Total de impressões,Total de cliques,Receita Bruta (R$),Receita Líquida,eCPM,eCPM médio total (R$),Porcentagem do total de impressões visíveis do Active View
Amazon,Interior,21/02/2024,1 x 1,22,0,"R$0,17 ","0,102",,"R$7,53 ","54,55%"
Amazon,Interior,21/02/2024,1 x 1,24,0,"R$0,13 ","0,078",,"R$5,42 ","58,33%"
Amazon,JC Online,21/02/2024,1 x 1,1,0,"R$0,01 ","0,006",,"R$5,16 ","0,00%"
Amazon,Jamildo,21/02/2024,1 x 1,2,0,"R$0,01 ","0,006",,"R$4,05 ","100,00%"
Amazon,Jamildo,21/02/2024,1 x 1,9,0,"R$0,01 ","0,006",,"R$1,33 ","55,56%"
Amazon,Social 1,21/02/2024,1 x 1,11,0,"R$0,02 ","0,012",,"R$2,15 ","81,82%"
Amazon,Social 1,21/02/2024,1 x 1,2,0,"R$0,02 ","0,012",,"R$11,83 ","0,00%"
Amazon,Blog do Torcedor,21/02/2024,1 x 1,1,0,"R$0,00 ","0,0",,"R$1,68 ","100,00%"
Amazon,JC Online,21/02/2024,1 x 1,10,0,"R$0,03 ","0,018",,"R$3,15 ","80,00%"
Amazon,Rádio Jornal,21/02/2024,1 x 1,3,0,"R$0,03 ","0,018",,"R$10,64 ","66,67%"
Amazon,TV Jornal,21/02/2024,1 x 1,1,0,"R$0,00 ","0,0",,"R$1,14 ","0,00%"
Amazon,TV Jornal,21/02/2024,1 x 1,4,0,"R$0,03 ","0,018",,"R$6,29 ","75,00%"
Amazon,TV Jornal,21/02/2024,1 x 1,271,0,"R$1,61 ","0,966",,"R$5,93 ","54,24%"
Amazon,Interior,21/02/2024,1 x 1,117,0,"R$0,90 ","0,54",,"R$7,71 ","86,32%"
AppNexus,Portal NE10,21/02/2024,1 x 1,37,0,"R$0,07 ","0,042",,"R$1,91 ","51,35%"
AppNexus,Portal NE10,21/02/2024,Nativo,32,0,"R$0,04 ","0,024",,"R$1,34 ","31,25%"
AppNexus,Portal NE10,21/02/2024,1 x 1,99,0,"R$0,08 ","0,048",,"R$0,76 ","77,78%"
AppNexus,Portal NE10,21/02/2024,1 x 1,236,0,"R$0,29 ","0,174",,"R$1,23 ","49,58%"
AppNexus,Portal NE10,21/02/2024,1 x 1,1529,0,"R$1,78 ","1,068",,"R$1,16 ","89,21%"
AppNexus,Portal NE10,21/02/2024,480 x 360v,464,2,"R$0,84 ","0,504",,"R$1,86 ","82,53%"
AppNexus,Portal NE10,21/02/2024,1 x 1,102,0,"R$0,10 ","0,06",,"R$0,96 ","69,61%"
AppNexus,Portal NE10,21/02/2024,480 x 360v,51,0,"R$0,09 ","0,054",,"R$1,80 ","82,00%"
AppNexus,Interior,21/02/2024,1 x 1,47,0,"R$0,20 ","0,12",,"R$4,28 ","53,19%"
AppNexus,Interior,21/02/2024,Nativo,6,0,"R$0,01 ","0,006",,"R$2,03 ","50,00%"
AppNexus,Interior,21/02/2024,1 x 1,121,0,"R$0,15 ","0,09",,"R$1,21 ","79,34%"
AppNexus,Interior,21/02/2024,480 x 360v,40,0,"R$0,05 ","0,03",,"R$1,32 ","75,00%"
AppNexus,Interior,21/02/2024,1 x 1,1,0,"R$0,00 ","0,0",,"R$0,64 ","0,00%"
AppNexus,Portal NE10,21/02/2024,1 x 1,13,0,"R$0,01 ","0,006",,"R$1,12 ","53,85%"
AppNexus,JC Online,21/02/2024,1 x 1,4960,0,"R$10,35 ","6,21",,"R$2,09 ","71,02%"
AppNexus,JC Online,21/02/2024,Nativo,48,0,"R$0,04 ","0,024",,"R$0,93 ","33,33%"
AppNexus,Jamildo,21/02/2024,1 x 1,4060,0,"R$13,58 ","8,148",,"R$3,35 ","64,02%"
AppNexus,JC Online,21/02/2024,1 x 1,9683,0,"R$11,43 ","6,858",,"R$1,18 ","87,66%"
AppNexus,Jamildo,21/02/2024,1 x 1,1,0,"R$0,00 ","0,0",,"R$4,93 ","0,00%"
AppNexus,Jamildo,21/02/2024,1 x 1,4063,0,"R$6,18 ","3,708",,"R$1,52 ","84,32%"
AppNexus,Jamildo,21/02/2024,1 x 1,195,0,"R$0,35 ","0,21",,"R$1,81 ","46,67%"
AppNexus,Jamildo,21/02/2024,480 x 360v,3810,14,"R$4,24 ","2,544",,"R$1,14 ","84,07%"
AppNexus,Portal NE10,21/02/2024,480 x 360v,8,0,"R$0,00 ","0,0",,"R$0,52 ","87,50%"
AppNexus,JC Online,21/02/2024,480 x 360v,2,0,"R$0,00 ","0,0",,"R$0,34 ","100,00%"
AppNexus,Portal NE10,21/02/2024,1 x 1,15,0,"R$0,01 ","0,006",,"R$0,95 ","26,67%"
