Anunciante,Bloco de anúncios,Data,Tamanho do criativo,ID do anunciante,ID do bloco de anúncios,Total de impressões,Total de cliques,Receita total de CPM e de CPC (R$),eCPM médio total (R$),Porcentagem do total de impressões visíveis do Active View
(VENDAS DIRETAS SJCC)  PITU,parceiros (10869286) » ne_10 (11238766) » radio_jornal (21719551231),7/2/2024,320 x 50,5628453248,",10869286,11238766,21719551231,",173,0,"R$1,51 ","R$8,70 ","75,58%"
(VENDAS DIRETAS SJCC)  PITU,parceiros (10869286) » ne_10 (11238766) » radio_jornal (21719551231),7/2/2024,728 x 90,5628453248,",10869286,11238766,21719551231,",14,0,"R$0,12 ","R$8,70 ","71,43%"
(VENDAS DIRETAS SJCC)  PITU,parceiros (10869286) » ne_10 (11238766) » radio_jornal (21719551231) » amp_stories (22722284733),7/1/2024,1 x 1,5628453248,",10869286,11238766,21719551231,22722284733,",5,0,"R$0,04 ","R$8,70 ","40,00%"
(VENDAS DIRETAS SJCC)  PITU,parceiros (10869286) » ne_10 (11238766) » radio_jornal (21719551231) » amp_stories (22722284733),7/2/2024,1 x 1,5628453248,",10869286,11238766,21719551231,22722284733,",25,0,"R$0,22 ","R$8,70 ","48,00%"
(VENDAS DIRETAS SJCC)  PITU,parceiros (10869286) » ne_10 (11238766) » radio_jornal (21719551231) » anchor (22834993604),7/1/2024,320 x 50,5628453248,",10869286,11238766,21719551231,22834993604,",38,0,"R$0,33 ","R$8,70 ","100,00%"
(VENDAS DIRETAS SJCC)  PITU,parceiros (10869286) » ne_10 (11238766) » radio_jornal (21719551231) » anchor (22834993604),7/1/2024,728 x 90,5628453248,",10869286,11238766,21719551231,22834993604,",19,0,"R$0,17 ","R$8,70 ","121,05%"
(VENDAS DIRETAS SJCC)  PITU,parceiros (10869286) » ne_10 (11238766) » radio_jornal (21719551231) » anchor (22834993604),7/2/2024,320 x 50,5628453248,",10869286,11238766,21719551231,22834993604,",42,0,"R$0,37 ","R$8,70 ","88,10%"
(VENDAS DIRETAS SJCC)  PITU,parceiros (10869286) » ne_10 (11238766) » radio_jornal (21719551231) » anchor (22834993604),7/2/2024,728 x 90,5628453248,",10869286,11238766,21719551231,22834993604,",15,0,"R$0,13 ","R$8,70 ","86,67%"
(VENDAS DIRETAS SJCC)  PITU,parceiros (10869286) » ne_10 (11238766) » radio_jornal (21719551231) » aovivo (21798635724),7/1/2024,300 x 600,5628453248,",10869286,11238766,21719551231,21798635724,",326,0,"R$2,84 ","R$8,70 ","99,39%"
(VENDAS DIRETAS SJCC)  PITU,parceiros (10869286) » ne_10 (11238766) » radio_jornal (21719551231) » aovivo (21798635724),7/1/2024,320 x 50,5628453248,",10869286,11238766,21719551231,21798635724,",5052,3,"R$43,95 ","R$8,70 ","99,62%"
