Anunciante,Bloco de anúncios,Data,Tamanho do criativo,Total de impressões,Total de cliques,Receita Bruta (R$),Receita Líquida,eCPM
Áudio (0x0),Portal NE10,07/01/2024,0 x 0,29,1,"R$0,03 ","0,018","1,0345"
Áudio (0x0),Portal NE10,08/01/2024,0 x 0,176,0,"R$0,20 ","0,12","1,1364"
Áudio (0x0),Portal NE10,09/01/2024,0 x 0,6095,15,"R$8,92 ","5,352","1,4635"
Áudio (0x0),Portal NE10,10/01/2024,0 x 0,225,3,"R$0,31 ","0,186","1,3778"
Áudio (0x0),Portal NE10,11/01/2024,0 x 0,159,1,"R$0,26 ","0,156","1,6352"
Áudio (0x0),Portal NE10,12/01/2024,0 x 0,61,1,"R$0,14 ","0,084","2,2951"
Áudio (0x0),Portal NE10,13/01/2024,0 x 0,18,0,"R$0,16 ","0,096","8,8889"
Áudio (0x0),Portal NE10,14/01/2024,0 x 0,2,0,"R$0,02 ","0,012","10,0"
Áudio (0x0),Portal NE10,15/01/2024,0 x 0,70,0,"R$0,14 ","0,084","2,0"
Áudio (0x0),Portal NE10,16/01/2024,0 x 0,107,0,"R$0,22 ","0,132","2,0561"
Áudio (0x0),Portal NE10,17/01/2024,0 x 0,84,2,"R$0,13 ","0,078","1,5476"
Áudio (0x0),Interior,01/01/2024,0 x 0,597,0,"R$0,82 ","0,492","1,3735"
Áudio (0x0),Interior,02/01/2024,0 x 0,489,0,"R$0,93 ","0,558","1,9018"
Áudio (0x0),Interior,03/01/2024,0 x 0,251,0,"R$0,40 ","0,24","1,5936"
Áudio (0x0),Interior,04/01/2024,0 x 0,117,0,"R$0,20 ","0,12","1,7094"
Áudio (0x0),Interior,05/01/2024,0 x 0,104,0,"R$0,22 ","0,132","2,1154"
Áudio (0x0),Interior,06/01/2024,0 x 0,939,0,"R$2,42 ","1,452","2,5772"
Áudio (0x0),Interior,07/01/2024,0 x 0,167,0,"R$0,39 ","0,234","2,3353"
Áudio (0x0),Interior,08/01/2024,0 x 0,119,0,"R$0,28 ","0,168","2,3529"
Áudio (0x0),Interior,09/01/2024,0 x 0,115,0,"R$0,22 ","0,132","1,913"
Áudio (0x0),Interior,10/01/2024,0 x 0,58,0,"R$0,13 ","0,078","2,2414"
Áudio (0x0),Interior,11/01/2024,0 x 0,124,0,"R$0,29 ","0,174","2,3387"
Áudio (0x0),Interior,12/01/2024,0 x 0,90,0,"R$0,38 ","0,228","4,2222"
Áudio (0x0),Interior,13/01/2024,0 x 0,84,0,"R$0,23 ","0,138","2,7381"
Áudio (0x0),Interior,14/01/2024,0 x 0,62,0,"R$0,33 ","0,198","5,3226"
Áudio (0x0),Interior,15/01/2024,0 x 0,80,0,"R$0,29 ","0,174","3,625"
Áudio (0x0),Interior,16/01/2024,0 x 0,91,0,"R$0,24 ","0,144","2,6374"
Áudio (0x0),Interior,17/01/2024,0 x 0,50,0,"R$0,27 ","0,162","5,4"
Áudio (0x0),Interior,12/01/2024,0 x 0,1,0,"R$0,00 ","0,0","0,0"
Áudio (0x0),Interior,01/01/2024,0 x 0,521,3,"R$0,51 ","0,306","0,9789"
Áudio (0x0),Interior,02/01/2024,0 x 0,1081,1,"R$0,86 ","0,516","0,7956"
Áudio (0x0),Interior,03/01/2024,0 x 0,469,1,"R$0,29 ","0,174","0,6183"
Áudio (0x0),Interior,04/01/2024,0 x 0,433,1,"R$0,30 ","0,18","0,6928"
Áudio (0x0),Interior,05/01/2024,0 x 0,346,1,"R$0,22 ","0,132","0,6358"
Áudio (0x0),Interior,06/01/2024,0 x 0,271,0,"R$0,27 ","0,162","0,9963"
